item_id,domain,difficulty,question,correct_answer,template_id,seed
math_0014,math,1,James has 21 peaches. James gives 4 to Aisha and buys 15 more. How many peaches does James have now?,32,give_and_buy,1531740178
math_0015,math,3,"Marcus types 46 words per minute. Marcus's favorite color is blue. If Marcus works for 6 minutes, how many words does Marcus type?",276,rate_and_time,1987151869
math_0016,math,6,"Kenji saves $570 every week for 3 weeks. During that time, Kenji spends $262 on new shoes. There were 23 items in the clearance bin, but Kenji wasn't interested. The store also had 18 batteries on display, but Kenji didn't buy any. How much money does Kenji have at the end?",1448,savings_over_weeks,922746587
math_0017,math,4,Nadia and Priya pack orders together. Nadia can finish 58 per hour and Priya can finish 43 per hour. They work together for 3 hours. Nadia had 48 coupons in a drawer at home but forgot to bring them. How many do they complete in total?,303,combined_work,504868994
math_0018,math,5,"Omar types 26 words per minute. The shelf had 26 empty spots where items used to be. If Omar works for 8 minutes, how many words does Omar type?",208,rate_and_time,1412930420
math_0019,math,2,"Alex earned money over 4 days. On Monday, Alex earned $46. On Tuesday, Alex earned $49. On Wednesday, Alex earned $16. On Thursday, Alex earned $44. How much did Alex earn in total?",155,multi_day_earning,406158059
math_0020,math,4,"Fatima reads 122 pages per hour. The store's loyalty program showed Fatima had 45 points, which weren't redeemable yet. If Fatima works for 2 hours, how many pages does Fatima read?",244,rate_and_time,78823140
math_0021,math,6,"Maria has 2413 pencils. The store's loyalty program showed Maria had 5 points, which weren't redeemable yet. There were 49 items in the clearance bin, but Maria wasn't interested. David has 3 times as many pencils as Maria. How many pencils do they have together?",9652,two_step_ratio,124595506
math_0022,math,4,"Sarah earned a total of $1017 over three days. On the first day, Sarah earned $369. On the second day, Sarah earned $90. Sarah had 6 coupons in a drawer at home but forgot to bring them. How much did Sarah earn on the third day?",558,reverse_earning,361667659
math_0023,math,4,Rachel has $599. The shelf had 39 empty spots where items used to be. Rachel spends $155 on coffee. Rachel spends $145 on a book. How much money does Rachel have left?,299,remaining_after_spending,384171076
math_0024,math,4,Lin has 113 cookies. Lin had 33 coupons in a drawer at home but forgot to bring them. Aisha has 5 times as many cookies as Lin. How many cookies do they have together?,678,two_step_ratio,163246620
math_0025,math,5,"Fatima starts a small business selling candles. Fatima buys 100 candles at $25 each. The store also had 33 stamps on display, but Fatima didn't buy any. Fatima sells 62 of them at $38 each. Fatima also pays $276 in overhead costs. What is Fatima's profit?",-420,profit_calculation,742898281
math_0026,math,3,"Nadia types 10 words per minute. Nadia's favorite color is blue. If Nadia works for 5 minutes, how many words does Nadia type?",50,rate_and_time,1670945465
math_0027,math,5,"Sarah has 7575 apples and 2150 bananas. Sarah gives 3223 apples to a friend. On the way there, Sarah passed 19 houses. How many apples does Sarah have now?",4352,trap_irrelevant_operation,1512517579
math_0028,math,1,Lin goes to a store to buy erasers. Each eraser costs $32. Lin buys 19 of them. How much does Lin spend in total?,608,simple_purchase,1078064622
math_0029,math,1,Tom has 18 books and wants to share them equally among 2 friends. How many books does each friend get?,9,share_equally,643573994
math_0030,math,4,"Alex types 147 words per minute. Alex noticed that 25 other customers were in the store. If Alex works for 7 minutes, how many words does Alex type?",1029,rate_and_time,1545892581
math_0031,math,3,Priya has 432 pencils and wants to share them equally among 8 friends. Priya was wearing a red hat that day. How many pencils does each friend get?,54,share_equally,1783691772
math_0032,math,4,"Lin has 191 pencils. Maria has 3 times as many pencils as Lin. The store also had 2 stamps on display, but Lin didn't buy any. How many pencils do they have together?",764,two_step_ratio,952789834
math_0033,math,5,"Kenji and Alex paint fences together. The store's loyalty program showed Kenji had 23 points, which weren't redeemable yet. Kenji can finish 26 per hour and Alex can finish 21 per hour. They work together for 7 hours. How many do they complete in total?",329,combined_work,970868432
math_0034,math,5,"Priya has 1185 cookies. The store's loyalty program showed Priya had 42 points, which weren't redeemable yet. Sarah has 2 times as many cookies as Priya. How many cookies do they have together?",3555,two_step_ratio,519427452
math_0035,math,4,"Tom has 537 mangoes. The store also had 46 candles on display, but Tom didn't buy any. Tom gives 76 to Lin and buys 484 more. How many mangoes does Tom have now?",945,give_and_buy,1139123210
math_0036,math,2,Rachel has 4 books and wants to share them equally among 4 friends. How many books does each friend get?,1,share_equally,362637880
math_0037,math,3,Priya has 468 pencils and wants to share them equally among 6 friends. The receipt was printed on recycled paper. How many pencils does each friend get?,78,share_equally,98688507
math_0038,math,6,"Aisha and Priya assemble boxes together. Aisha can finish 65 per hour and Priya can finish 50 per hour. Aisha's friend had mentioned wanting 39 items, but Aisha didn't get any for them. Aisha noticed that 49 other customers were in the store. They work together for 8 hours. How many do they complete in total?",920,combined_work,543251333
math_0039,math,2,"Alex earned money over 4 days. On Monday, Alex earned $12. On Tuesday, Alex earned $6. On Wednesday, Alex earned $17. On Thursday, Alex earned $44. How much did Alex earn in total?",79,multi_day_earning,2137045498
math_0040,math,6,"Sarah wants to buy a jacket that costs $6856. The store's loyalty program showed Sarah had 44 points, which weren't redeemable yet. 25 of the items were slightly bruised, but Sarah kept them all. The store is offering a 25% discount today. How much does Sarah pay after the discount?",5142,percentage_discount,32490109
math_0041,math,2,"Nadia earned money over 2 days. On Monday, Nadia earned $24. On Tuesday, Nadia earned $20. How much did Nadia earn in total?",44,multi_day_earning,809727155
math_0042,math,6,Marcus bought 2 erasers and paid $214 in total. The shelf had 3 empty spots where erasers used to be. Each eraser cost the same amount. Marcus noticed that 44 other customers were in the store. How much did each eraser cost?,107,reverse_purchase,1801892057
math_0043,math,1,Aisha has 33 pencils and wants to share them equally among 3 friends. How many pencils does each friend get?,11,share_equally,1828696304
math_0044,math,1,Omar goes to a store to buy notebooks. Each notebook costs $44. Omar buys 4 of them. How much does Omar spend in total?,176,simple_purchase,611657276
math_0045,math,6,"Sarah wants to buy a camera that costs $4820. The store is offering a 50% discount today. The store also had 16 batteries on display, but Sarah didn't buy any. Sarah's friend had mentioned wanting 34 items, but Sarah didn't get any for them. How much does Sarah pay after the discount?",2410,percentage_discount,172971221
math_0046,math,4,"Marcus and Aisha assemble boxes together. Marcus can finish 55 per hour and Aisha can finish 80 per hour. Marcus's friend had mentioned wanting 44 items, but Marcus didn't get any for them. They work together for 7 hours. How many do they complete in total?",945,combined_work,1601137452
math_0047,math,4,David wants to buy a camera that costs $520. The store is offering a 25% discount today. The cashier mentioned they had sold 3 items earlier that day to someone else. How much does David pay after the discount?,390,percentage_discount,40582402
math_0048,math,6,"Nadia bought 2 folders and paid $228 in total. Each folder cost the same amount. Nadia had 42 coupons in a drawer at home but forgot to bring them. The store's loyalty program showed Nadia had 10 points, which weren't redeemable yet. How much did each folder cost?",114,reverse_purchase,1562276095
math_0049,math,5,"Maria bought 4 notebooks and paid $448 in total. Each notebook cost the same amount. On the way there, Maria passed 39 houses. How much did each notebook cost?",112,reverse_purchase,901570364
math_0050,math,3,James goes to a store to buy erasers. Each eraser costs $39. James buys 4 of them. The receipt was printed on recycled paper. How much does James spend in total?,156,simple_purchase,1958697115
math_0051,math,6,"Omar goes shopping with $3967. Omar buys 6 pens at $93 each. Omar buys 10 rulers at $165 each. Omar noticed that 28 other customers were in the store. There were 37 items in the clearance bin, but Omar wasn't interested. Omar buys 5 notebooks at $96 each. How much money does Omar have left?",1279,multi_item_purchase,277258590
math_0052,math,2,Carlos goes to a store to buy rulers. Each ruler costs $2. Carlos buys 15 of them. How much does Carlos spend in total?,30,simple_purchase,839640056
math_0053,math,4,"Carlos earned a total of $1301 over three days. On the first day, Carlos earned $440. On the second day, Carlos earned $133. Carlos had 10 coupons in a drawer at home but forgot to bring them. How much did Carlos earn on the third day?",728,reverse_earning,501211830
math_0054,math,4,"Maria has 528 cookies and wants to share them equally among 4 friends. On the way there, Maria passed 33 houses. How many cookies does each friend get?",132,share_equally,1184388562
math_0055,math,4,"Marcus and Fatima sort files together. Marcus can finish 21 per hour and Fatima can finish 66 per hour. They work together for 3 hours. There were 12 items in the clearance bin, but Marcus wasn't interested. How many do they complete in total?",261,combined_work,595529184
math_0056,math,6,"Rachel saves $1230 every week for 6 weeks. During that time, Rachel spends $1236 on concert tickets. The cashier mentioned they had sold 36 items earlier that day to someone else. During that time, Rachel spends $339 on a birthday gift. Rachel's friend had mentioned wanting 28 items, but Rachel didn't get any for them. How much money does Rachel have at the end?",5805,savings_over_weeks,2072739232
math_0057,math,4,Kenji bought 17 markers and paid $408 in total. Each marker cost the same amount. The shelf had 27 empty spots where markers used to be. How much did each marker cost?,24,reverse_purchase,1972539862
math_0058,math,5,"Rachel bought 16 markers and paid $2016 in total. Each marker cost the same amount. There were 38 items in the clearance bin, but Rachel wasn't interested. How much did each marker cost?",126,reverse_purchase,1424948299
math_0059,math,3,Maria goes to a store to buy notebooks. Maria's favorite color is blue. Each notebook costs $49. Maria buys 7 of them. How much does Maria spend in total?,343,simple_purchase,1824373617
math_0060,math,3,"Marcus types 72 words per minute. The store had been open since 1987. If Marcus works for 4 minutes, how many words does Marcus type?",288,rate_and_time,526928976
math_0061,math,2,"Marcus earned money over 3 days. On Monday, Marcus earned $43. On Tuesday, Marcus earned $41. On Wednesday, Marcus earned $2. How much did Marcus earn in total?",86,multi_day_earning,750309116
math_0062,math,1,Priya has 18 oranges. Priya gives 9 to Sarah and buys 31 more. How many oranges does Priya have now?,40,give_and_buy,1860007896
math_0063,math,1,Tom has 4 books and wants to share them equally among 4 friends. How many books does each friend get?,1,share_equally,2016083563
math_0064,math,2,Marcus has $27. Marcus spends $4 on coffee. Marcus spends $11 on a bus ticket. How much money does Marcus have left?,12,remaining_after_spending,957467056
math_0065,math,1,Omar goes to a store to buy notebooks. Each notebook costs $43. Omar buys 6 of them. How much does Omar spend in total?,258,simple_purchase,2105765495
math_0066,math,2,Carlos has $55. Carlos spends $11 on coffee. Carlos spends $11 on a bus ticket. How much money does Carlos have left?,33,remaining_after_spending,1153355214
math_0067,math,3,Maria goes to a store to buy folders. The store had been open since 1987. Each folder costs $11. Maria buys 18 of them. How much does Maria spend in total?,198,simple_purchase,87059383
math_0068,math,5,"Lin types 38 words per minute. Lin's friend had mentioned wanting 29 items, but Lin didn't get any for them. If Lin works for 5 minutes, how many words does Lin type?",190,rate_and_time,1759477159
math_0069,math,3,Sarah bought 19 pens and paid $380 in total. Each pen cost the same amount. The receipt was printed on recycled paper. How much did each pen cost?,20,reverse_purchase,259528178
math_0070,math,1,Nadia goes to a store to buy rulers. Each ruler costs $17. Nadia buys 10 of them. How much does Nadia spend in total?,170,simple_purchase,421128506
math_0071,math,5,"Maria wants to buy a bicycle that costs $5886. There were 8 items in the clearance bin, but Maria wasn't interested. The store is offering a 50% discount today. How much does Maria pay after the discount?",2943,percentage_discount,1060972222
math_0072,math,3,Tom has 299 apples. The receipt was printed on recycled paper. Tom gives 50 to Priya and buys 326 more. How many apples does Tom have now?,575,give_and_buy,542444985
math_0073,math,3,Maria goes to a store to buy erasers. Each eraser costs $20. A song was playing on the radio in the background. Maria buys 10 of them. How much does Maria spend in total?,200,simple_purchase,1351204411
math_0074,math,1,Carlos has 49 pears. Carlos gives 21 to Marcus and buys 5 more. How many pears does Carlos have now?,33,give_and_buy,106254486
math_0075,math,2,"Alex earned money over 3 days. On Monday, Alex earned $13. On Tuesday, Alex earned $33. On Wednesday, Alex earned $25. How much did Alex earn in total?",71,multi_day_earning,1131482031
math_0076,math,4,Maria has 676 pencils and wants to share them equally among 4 friends. Maria noticed that 18 other customers were in the store. How many pencils does each friend get?,169,share_equally,126756425
math_0077,math,6,"Alex starts a small business selling mugs. There were 25 items in the clearance bin, but Alex wasn't interested. Alex buys 46 mugs at $13 each. Alex sells 24 of them at $17 each. Alex also pays $79 in overhead costs. The store's loyalty program showed Alex had 48 points, which weren't redeemable yet. What is Alex's profit?",-269,profit_calculation,1291274085
math_0078,math,2,Tom has 3 bananas. Tom gives 1 to Maria and buys 12 more. How many bananas does Tom have now?,14,give_and_buy,2078080341
math_0079,math,2,"Nadia earned money over 3 days. On Monday, Nadia earned $20. On Tuesday, Nadia earned $2. On Wednesday, Nadia earned $2. How much did Nadia earn in total?",24,multi_day_earning,1940555806
math_0080,math,4,"Nadia earned a total of $1526 over three days. On the first day, Nadia earned $777. On the second day, Nadia earned $670. Nadia's friend had mentioned wanting 37 items, but Nadia didn't get any for them. How much did Nadia earn on the third day?",79,reverse_earning,1317311739
math_0081,math,6,"James has 581 stickers. James's friend had mentioned wanting 27 stickers, but James didn't get any for them. Marcus has 5 times as many stickers as James. James had 3 coupons in a drawer at home but forgot to bring them. How many stickers do they have together?",3486,two_step_ratio,572236996
math_0082,math,1,Kenji goes to a store to buy erasers. Each eraser costs $11. Kenji buys 2 of them. How much does Kenji spend in total?,22,simple_purchase,1616387274
math_0083,math,4,"Omar has 197 toy cars. There were 22 items in the clearance bin, but Omar wasn't interested. Alex has 5 times as many toy cars as Omar. How many toy cars do they have together?",1182,two_step_ratio,609422924
math_0084,math,3,Rachel has 68 marbles. David has 2 times as many marbles as Rachel. Rachel was wearing a red hat that day. How many marbles do they have together?,204,two_step_ratio,512991995
math_0085,math,6,"Sarah wants to buy a bicycle that costs $7580. Sarah had 26 coupons in a drawer at home but forgot to bring them. The store is offering a 20% discount today. The store's loyalty program showed Sarah had 25 points, which weren't redeemable yet. How much does Sarah pay after the discount?",6064,percentage_discount,657592528
math_0086,math,4,"Carlos saves $89 every week for 4 weeks. During that time, Carlos spends $60 on a video game. There were 24 items in the clearance bin, but Carlos wasn't interested. How much money does Carlos have at the end?",296,savings_over_weeks,592536205
math_0087,math,6,"Sarah has 5132 oranges and 4858 pears. Sarah's friend had mentioned wanting 25 oranges, but Sarah didn't get any for them. Sarah noticed that 20 other customers were in the store. Sarah gives 395 oranges to a friend. How many oranges does Sarah have now?",4737,trap_irrelevant_operation,1564041481
math_0088,math,3,Priya has 360 pencils and wants to share them equally among 6 friends. Priya's favorite color is blue. How many pencils does each friend get?,60,share_equally,1649722352
math_0089,math,2,James has $59. James spends $15 on a shirt. James spends $3 on a gift. How much money does James have left?,41,remaining_after_spending,1346226283
math_0090,math,6,"Marcus bought 19 folders and paid $2318 in total. Marcus's friend had mentioned wanting 35 folders, but Marcus didn't get any for them. There were 42 items in the clearance bin, but Marcus wasn't interested. Each folder cost the same amount. How much did each folder cost?",122,reverse_purchase,1305960295
math_0091,math,2,Maria has 20 peaches. Maria gives 7 to Fatima and buys 35 more. How many peaches does Maria have now?,48,give_and_buy,1248461747
math_0092,math,4,Lin has 148 pencils. Lin had 19 coupons in a drawer at home but forgot to bring them. Marcus has 2 times as many pencils as Lin. How many pencils do they have together?,444,two_step_ratio,1609438152
math_0093,math,1,Marcus goes to a store to buy markers. Each marker costs $37. Marcus buys 17 of them. How much does Marcus spend in total?,629,simple_purchase,1155500563
math_0094,math,3,Rachel has 49 toy cars. The receipt was printed on recycled paper. Kenji has 2 times as many toy cars as Rachel. How many toy cars do they have together?,147,two_step_ratio,1369589998
math_0095,math,4,"David saves $66 every week for 6 weeks. During that time, David spends $22 on a birthday gift. David's friend had mentioned wanting 36 items, but David didn't get any for them. During that time, David spends $74 on new shoes. How much money does David have at the end?",300,savings_over_weeks,647882193
math_0096,math,4,"Tom has 395 oranges. Tom gives 8 to Maria and buys 351 more. On the way there, Tom passed 5 houses. How many oranges does Tom have now?",738,give_and_buy,49002712
math_0097,math,6,"Alex starts a small business selling mugs. Alex buys 79 mugs at $84 each. Alex noticed that 29 other customers were in the store. Alex sells 46 of them at $118 each. Alex's friend had mentioned wanting 14 mugs, but Alex didn't get any for them. Alex also pays $194 in overhead costs. What is Alex's profit?",-1402,profit_calculation,1458610660
math_0098,math,6,"Kenji saves $1262 every week for 6 weeks. Kenji noticed that 23 other customers were in the store. The cashier mentioned they had sold 26 items earlier that day to someone else. During that time, Kenji spends $853 on concert tickets. How much money does Kenji have at the end?",6719,savings_over_weeks,768740410
math_0099,math,6,"Lin goes shopping with $4001. Lin buys 6 folders at $58 each. The store also had 4 magazines on display, but Lin didn't buy any. The shelf had 29 empty spots where items used to be. Lin buys 7 erasers at $81 each. Lin buys 9 notebooks at $107 each. How much money does Lin have left?",2123,multi_item_purchase,660988857
math_0100,math,4,"Nadia and James pack orders together. Nadia's friend had mentioned wanting 18 items, but Nadia didn't get any for them. Nadia can finish 2 per hour and James can finish 6 per hour. They work together for 4 hours. How many do they complete in total?",32,combined_work,770097249
math_0101,math,4,Tom has 511 mangoes. Tom gives 143 to Carlos and buys 98 more. The shelf had 11 empty spots where mangoes used to be. How many mangoes does Tom have now?,466,give_and_buy,733946483
math_0102,math,1,James has 40 apples. James gives 12 to Carlos and buys 3 more. How many apples does James have now?,31,give_and_buy,2085503560
math_0103,math,3,Tom has 12 mangoes. Tom's favorite color is blue. Tom gives 5 to Omar and buys 278 more. How many mangoes does Tom have now?,285,give_and_buy,980351187
math_0104,math,4,"James bought 12 folders and paid $552 in total. Each folder cost the same amount. James's friend had mentioned wanting 43 folders, but James didn't get any for them. How much did each folder cost?",46,reverse_purchase,575546015
math_0105,math,3,Carlos has 26 cookies and wants to share them equally among 2 friends. The receipt was printed on recycled paper. How many cookies does each friend get?,13,share_equally,160282720
math_0106,math,2,Aisha goes to a store to buy pens. Each pen costs $24. Aisha buys 17 of them. How much does Aisha spend in total?,408,simple_purchase,2113076312
math_0107,math,1,Nadia goes to a store to buy notebooks. Each notebook costs $5. Nadia buys 4 of them. How much does Nadia spend in total?,20,simple_purchase,1264327317
math_0108,math,3,Rachel has 17 pencils. Maria has 5 times as many pencils as Rachel. The receipt was printed on recycled paper. How many pencils do they have together?,102,two_step_ratio,247522018
math_0109,math,5,"Tom earned money over 3 days. On Monday, Tom earned $2279. On Tuesday, Tom earned $7829. There were 26 items in the clearance bin, but Tom wasn't interested. On Wednesday, Tom earned $1245. How much did Tom earn in total?",11353,multi_day_earning,410566847
math_0110,math,6,"Fatima starts a small business selling candles. Fatima buys 32 candles at $310 each. Fatima's friend had mentioned wanting 22 candles, but Fatima didn't get any for them. On the way there, Fatima passed 38 houses. Fatima sells 29 of them at $447 each. Fatima also pays $1606 in overhead costs. What is Fatima's profit?",1437,profit_calculation,1163397872
math_0111,math,5,"David has $12835. David spends $1378 on a gift. David spends $1051 on coffee. David spends $2356 on a bus ticket. On the way there, David passed 45 houses. How much money does David have left?",8050,remaining_after_spending,886356380
math_0112,math,3,Alex has $635. Alex spends $28 on coffee. A song was playing on the radio in the background. Alex spends $144 on a bus ticket. How much money does Alex have left?,463,remaining_after_spending,673275312
math_0113,math,1,Aisha has 21 toy cars and wants to share them equally among 7 friends. How many toy cars does each friend get?,3,share_equally,440821892
math_0114,math,2,Fatima has $51. Fatima spends $9 on a shirt. Fatima spends $10 on coffee. How much money does Fatima have left?,32,remaining_after_spending,939410411
math_0115,math,3,Priya has 344 stickers and wants to share them equally among 4 friends. Priya was wearing a red hat that day. How many stickers does each friend get?,86,share_equally,1875789832
math_0116,math,5,"Nadia saves $492 every week for 6 weeks. 11 of the items were slightly bruised, but Nadia kept them all. During that time, Nadia spends $40 on new shoes. How much money does Nadia have at the end?",2912,savings_over_weeks,529295469
math_0117,math,3,Omar wants to buy a jacket that costs $404. The receipt was printed on recycled paper. The store is offering a 50% discount today. How much does Omar pay after the discount?,202,percentage_discount,1511614416
math_0118,math,6,"Rachel saves $1467 every week for 4 weeks. On the way there, Rachel passed 36 houses. Rachel had 47 coupons in a drawer at home but forgot to bring them. During that time, Rachel spends $410 on a video game. During that time, Rachel spends $1160 on a birthday gift. How much money does Rachel have at the end?",4298,savings_over_weeks,1999907928
math_0119,math,4,Tom has 349 peaches. Tom gives 139 to Kenji and buys 314 more. Tom noticed that 7 other customers were in the store. How many peaches does Tom have now?,524,give_and_buy,928534768
math_0120,math,4,Priya bought 3 notebooks and paid $405 in total. Priya had 48 coupons in a drawer at home but forgot to bring them. Each notebook cost the same amount. How much did each notebook cost?,135,reverse_purchase,2020975659
math_0121,math,6,"Alex starts a small business selling t-shirts. On the way there, Alex passed 40 houses. Alex buys 78 t-shirts at $89 each. Alex sells 72 of them at $147 each. Alex also pays $681 in overhead costs. 7 of the t-shirts were slightly bruised, but Alex kept them all. What is Alex's profit?",2961,profit_calculation,665796959
math_0122,math,5,"Sarah earned money over 3 days. On Monday, Sarah earned $3819. On Tuesday, Sarah earned $4186. On Wednesday, Sarah earned $6556. Sarah noticed that 40 other customers were in the store. How much did Sarah earn in total?",14561,multi_day_earning,1149457813
math_0123,math,6,"Omar goes shopping with $2346. Omar buys 9 pens at $63 each. Omar buys 6 erasers at $101 each. On the way there, Omar passed 28 houses. The shelf had 20 empty spots where items used to be. Omar buys 2 notebooks at $158 each. How much money does Omar have left?",857,multi_item_purchase,335299310
math_0124,math,1,Fatima goes to a store to buy markers. Each marker costs $14. Fatima buys 4 of them. How much does Fatima spend in total?,56,simple_purchase,1961925365
math_0125,math,6,"Marcus bought 8 pens and paid $1456 in total. Marcus noticed that 37 other customers were in the store. Each pen cost the same amount. 34 of the pens were slightly bruised, but Marcus kept them all. How much did each pen cost?",182,reverse_purchase,1149155194
math_0126,math,2,Alex has $35. Alex spends $16 on a book. Alex spends $13 on a bus ticket. How much money does Alex have left?,6,remaining_after_spending,1002129707
math_0127,math,4,"Fatima has 296 pears and 186 oranges. Fatima gives 119 pears to a friend. On the way there, Fatima passed 25 houses. How many pears does Fatima have now?",177,trap_irrelevant_operation,1714011172
math_0128,math,6,"Lin goes shopping with $2016. Lin buys 1 pens at $40 each. Lin buys 4 rulers at $50 each. 37 of the items were slightly bruised, but Lin kept them all. Lin buys 2 markers at $198 each. The shelf had 23 empty spots where items used to be. How much money does Lin have left?",1380,multi_item_purchase,797292664
math_0129,math,3,Omar wants to buy a laptop that costs $478. The store is offering a 50% discount today. The receipt was printed on recycled paper. How much does Omar pay after the discount?,239,percentage_discount,1619985073
math_0130,math,2,Lin has 38 marbles and wants to share them equally among 2 friends. How many marbles does each friend get?,19,share_equally,760047201
math_0131,math,2,Rachel has $54. Rachel spends $4 on a gift. Rachel spends $11 on coffee. How much money does Rachel have left?,39,remaining_after_spending,1933338230
math_0132,math,1,James has 42 cookies and wants to share them equally among 6 friends. How many cookies does each friend get?,7,share_equally,1545912750
math_0133,math,1,Sarah has 28 pears. Sarah gives 10 to Fatima and buys 24 more. How many pears does Sarah have now?,42,give_and_buy,1235240924
math_0134,math,5,"Sarah starts a small business selling mugs. Sarah buys 100 mugs at $97 each. Sarah sells 96 of them at $193 each. Sarah also pays $1440 in overhead costs. The store's loyalty program showed Sarah had 40 points, which weren't redeemable yet. What is Sarah's profit?",7388,profit_calculation,560919252
math_0135,math,2,Priya goes to a store to buy erasers. Each eraser costs $23. Priya buys 17 of them. How much does Priya spend in total?,391,simple_purchase,521292408
math_0136,math,2,Carlos goes to a store to buy rulers. Each ruler costs $28. Carlos buys 20 of them. How much does Carlos spend in total?,560,simple_purchase,21070371
math_0137,math,6,"Tom has 2026 bananas and 5113 pears. The store's loyalty program showed Tom had 39 points, which weren't redeemable yet. There were 48 items in the clearance bin, but Tom wasn't interested. Tom gives 338 bananas to a friend. How many bananas does Tom have now?",1688,trap_irrelevant_operation,1074180788
math_0138,math,2,Aisha goes to a store to buy pens. Each pen costs $33. Aisha buys 12 of them. How much does Aisha spend in total?,396,simple_purchase,337837039
math_0139,math,6,"Rachel saves $1775 every week for 4 weeks. Rachel noticed that 5 other customers were in the store. During that time, Rachel spends $2168 on a birthday gift. The shelf had 8 empty spots where items used to be. How much money does Rachel have at the end?",4932,savings_over_weeks,1683636082
math_0140,math,5,"Marcus saves $2874 every week for 3 weeks. During that time, Marcus spends $268 on a birthday gift. Marcus's friend had mentioned wanting 8 items, but Marcus didn't get any for them. How much money does Marcus have at the end?",8354,savings_over_weeks,945626263
math_0141,math,1,Carlos has 34 apples. Carlos gives 9 to Lin and buys 2 more. How many apples does Carlos have now?,27,give_and_buy,958999842
math_0142,math,5,Sarah bought 5 notebooks and paid $750 in total. Sarah noticed that 29 other customers were in the store. Each notebook cost the same amount. How much did each notebook cost?,150,reverse_purchase,1759647743
math_0143,math,1,Carlos has 32 pears. Carlos gives 3 to James and buys 11 more. How many pears does Carlos have now?,40,give_and_buy,1254653888
math_0144,math,4,James has 508 pencils and wants to share them equally among 4 friends. James noticed that 47 other customers were in the store. How many pencils does each friend get?,127,share_equally,2056616305
math_0145,math,2,Lin has 28 books and wants to share them equally among 7 friends. How many books does each friend get?,4,share_equally,1769694667
math_0146,math,5,"David has $12259. David spends $629 on a book. David spends $1189 on a shirt. On the way there, David passed 9 houses. David spends $2364 on lunch. How much money does David have left?",8077,remaining_after_spending,1586708377
math_0147,math,2,Kenji has 4 marbles and wants to share them equally among 4 friends. How many marbles does each friend get?,1,share_equally,1794346860
math_0148,math,3,Lin wants to buy a guitar that costs $18. The store is offering a 50% discount today. The store had been open since 1987. How much does Lin pay after the discount?,9,percentage_discount,783623047
math_0149,math,6,"Carlos reads 171 pages per hour. The shelf had 3 empty spots where items used to be. On the way there, Carlos passed 2 houses. If Carlos works for 7 hours, how many pages does Carlos read?",1197,rate_and_time,801320915
