item_id,domain,difficulty,question,correct_answer
staircase_math_056,math,6,"James has 1566 cookies. The store also had 25 envelopes on display, but James didn't buy any. Nadia has 2 times as many cookies as James. James's friend had mentioned wanting 45 cookies, but James didn't get any for them. How many cookies do they have together?",4698
staircase_math_059,math,3,"Nadia builds 38 widgets per day. The store had been open since 1987. If Nadia works for 8 days, how many widgets does Nadia produce?",304
staircase_math_061,math,4,"Omar has 548 bananas and 417 mangoes. Omar gives 200 bananas to a friend. Omar's friend had mentioned wanting 46 bananas, but Omar didn't get any for them. How many bananas does Omar have now?",348
staircase_math_072,math,4,"Kenji saves $109 every week for 5 weeks. During that time, Kenji spends $5 on concert tickets. Kenji's friend had mentioned wanting 39 items, but Kenji didn't get any for them. How much money does Kenji have at the end?",540
staircase_math_074,math,5,"Tom earned money over 3 days. On Monday, Tom earned $701. On Tuesday, Tom earned $4744. On Wednesday, Tom earned $5221. The shelf had 37 empty spots where items used to be. How much did Tom earn in total?",10666
staircase_math_077,math,4,"Lin bought 3 markers and paid $441 in total. On the way there, Lin passed 29 houses. Each marker cost the same amount. How much did each marker cost?",147
staircase_math_078,math,5,Fatima goes shopping with $4509. Fatima buys 8 erasers at $156 each. Fatima had 46 coupons in a drawer at home but forgot to bring them. Fatima buys 5 markers at $113 each. Fatima buys 6 folders at $65 each. How much money does Fatima have left?,2306
staircase_math_082,math,6,"Alex earned a total of $15117 over three days. On the way there, Alex passed 10 houses. The store also had 29 batteries on display, but Alex didn't buy any. On the first day, Alex earned $2220. On the second day, Alex earned $6424. How much did Alex earn on the third day?",6473
staircase_math_083,math,4,Kenji bought 9 notebooks and paid $315 in total. The shelf had 35 empty spots where notebooks used to be. Each notebook cost the same amount. How much did each notebook cost?,35
staircase_math_085,math,4,"Priya has 188 bananas and 180 oranges. There were 38 items in the clearance bin, but Priya wasn't interested. Priya gives 77 bananas to a friend. How many bananas does Priya have now?",111
staircase_math_086,math,4,Aisha wants to buy a camera that costs $748. The store is offering a 50% discount today. Aisha noticed that 49 other customers were in the store. How much does Aisha pay after the discount?,374
staircase_math_087,math,2,"Nadia earned money over 4 days. On Monday, Nadia earned $17. On Tuesday, Nadia earned $18. On Wednesday, Nadia earned $26. On Thursday, Nadia earned $16. How much did Nadia earn in total?",77
staircase_math_088,math,3,Tom has 340 mangoes. The receipt was printed on recycled paper. Tom gives 131 to Aisha and buys 472 more. How many mangoes does Tom have now?,681
staircase_logic_000,logic,4,Finn is a Snazzles. Every Snazzles is a Murnips. Every Murnips is a Flimbers. All Blorps are wise. Every Flimbers is a Wumpuses. Is Finn a Quibbles?,Cannot be determined
staircase_logic_005,logic,3,Mina's favorite color is orange. Jake enjoys gardening. Finn's favorite color is yellow. Gina's favorite color is blue. Iris does not like blue or orange. Iris's favorite color is red. Noel does not like blue. What is Noel's favorite color?,purple
staircase_logic_008,logic,3,"If something is a Snazzles, it might be wise. Ora is a Quibbles. Every Quibbles is a Tazzles. Every Tazzles is a Grumpkins. Every Grumpkins is a Fizzgigs. Is Ora a Fizzgigs?",Yes
staircase_logic_010,logic,4,All Snazzles are kind. Ora is a Murnips. All Murnips are quiet. All quiet things are kind. Is Ora not kind?,No
staircase_logic_015,logic,5,"Hugo is a Drazzles. All Drazzles are fast. If something is fast, then it is wise. Some Quibbles are tall. If something is wise, then it is kind. Is Hugo clever?",Cannot be determined
staircase_logic_016,logic,3,"All Vexlings are wise. Kira is a Drazzles. All Drazzles are quiet. If something is quiet, then it is wise. Is Kira wise?",Yes
staircase_logic_018,logic,4,"Paul is a Vexlings. Some Tazzles are clever. All Vexlings are kind. If something is kind, then it is friendly. Is Paul friendly?",Yes
staircase_logic_024,logic,6,"Paul is a Murnips. All Murnips are wise. If something is wise, then it is fast. If something is fast, then it is clever. All Fizzgigs are wise. Some Drogons are happy. Is Paul clever?",Yes
staircase_logic_025,logic,3,"Cora is a Vexlings. All Vexlings are brave. Some Flimbers are quiet. If something is brave, then it is fast. Is Cora wise?",Cannot be determined
staircase_logic_028,logic,3,"Paul is a Drogons. Some Plonkers are friendly. All Drogons are fast. If something is fast, then it is happy. Is Paul happy?",Yes
staircase_logic_033,logic,5,Hugo's favorite color is red. Cora enjoys gardening. Finn's favorite color is blue. Ora does not like blue or purple. Ora's favorite color is orange. Paul does not like orange. What is Paul's favorite color?,purple
staircase_logic_035,logic,3,Gina's favorite color is purple. Eve does not like blue or purple. Eve's favorite color is green. Iris does not like blue or purple. Noel enjoys painting. Iris's favorite color is orange. Paul does not like purple. What is Paul's favorite color?,blue
staircase_logic_038,logic,2,Dan is a Murnips. Every Murnips is a Wumpuses. Every Wumpuses is a Snazzles. Is Dan a Wumpuses?,Yes
staircase_logic_042,logic,4,Leo is a Wumpuses. All Grumpkins are kind. Every Wumpuses is a Zephlins. Every Zephlins is a Snazzles. Every Snazzles is a Drazzles. Is Leo a Drogons?,Cannot be determined
staircase_logic_043,logic,6,Leo's favorite color is blue. Cora does not like blue or red. Eve enjoys cooking. Gina enjoys painting. Cora's favorite color is yellow. Ava does not like purple or blue. Ava's favorite color is green. Jake's favorite color is red. Paul does not like yellow. What is Paul's favorite color?,purple
staircase_logic_045,logic,2,"Mina is a Fizzgigs. All Fizzgigs are tall. If something is tall, then it is clever. Is Mina clever?",Yes
staircase_logic_046,logic,5,Some Plonkers are fast. Paul is a Grumpkins. Every Grumpkins is a Drazzles. Every Drazzles is a Kelpoids. Every Kelpoids is a Blorps. Every Blorps is a Wumpuses. Is Paul a Flimbers?,Cannot be determined
staircase_logic_047,logic,6,"Paul is a Vexlings. All Flimbers are fast. All Vexlings are kind. If something is kind, then it is wise. If something is wise, then it is fast. Some Drogons are strong. Is Paul fast?",Yes
staircase_logic_049,logic,4,"Mina is a Plonkers. All Plonkers are quiet. All quiet things are clever. If something is a Tazzles, it might be happy. Is Mina not clever?",No
staircase_logic_050,logic,3,"Some Drogons are brave. Cora is a Grumpkins. All Grumpkins are tall. If something is tall, then it is fast. Is Cora fast?",Yes
staircase_logic_051,logic,4,Eve's favorite color is yellow. Hugo's favorite color is red. Ora enjoys chess. Leo's favorite color is blue. Kira does not like yellow. What is Kira's favorite color?,green
staircase_logic_053,logic,6,Dan's favorite color is blue. Mina enjoys painting. Eve enjoys gardening. Ora does not like purple or green. Ora's favorite color is red. Iris does not like red or green. Iris's favorite color is yellow. Noel's favorite color is green. Finn does not like blue. What is Finn's favorite color?,purple
staircase_logic_057,logic,3,Noel's favorite color is red. Finn's favorite color is purple. Leo does not like green or red. Hugo enjoys cooking. Leo's favorite color is orange. Dan does not like purple. What is Dan's favorite color?,green
staircase_logic_066,logic,3,"Some Drazzles are wise. Hugo is a Plonkers. All Plonkers are friendly. If something is friendly, then it is clever. Is Hugo strong?",Cannot be determined
staircase_logic_067,logic,3,Finn is a Wumpuses. Some Drazzles are kind. Every Wumpuses is a Plonkers. Every Plonkers is a Zephlins. Every Zephlins is a Murnips. Is Finn a Grumpkins?,Cannot be determined
staircase_logic_069,logic,4,"Noel is a Zephlins. All Zephlins are strong. All Drazzles are clever. If something is strong, then it is quiet. Is Noel wise?",Cannot be determined
staircase_logic_073,logic,3,"If something is a Drazzles, it might be friendly. Kira is a Flimbers. All Flimbers are quiet. If something is quiet, then it is strong. Is Kira strong?",Yes
staircase_logic_074,logic,5,Ava's favorite color is purple. Finn does not like purple or green. Finn's favorite color is yellow. Jake's favorite color is red. Kira does not like yellow or red. Kira's favorite color is green. Gina enjoys painting. Iris does not like red. What is Iris's favorite color?,blue
staircase_logic_079,logic,6,Eve's favorite color is orange. Kira's favorite color is yellow. Ora's favorite color is purple. Cora does not like yellow or purple. Mina enjoys cooking. Cora's favorite color is blue. Noel does not like blue. Ava enjoys painting. What is Noel's favorite color?,red
staircase_logic_089,logic,4,Paul is a Grumpkins. All Flimbers are brave. All Grumpkins are quiet. All quiet things are wise. Is Paul wise?,Yes
factual_geo_1_1,factual,1,What is the capital of France?,Paris
factual_sci_1_3,factual,1,What gas do plants absorb during photosynthesis?,Carbon dioxide
factual_geo_1_3,factual,1,What is the largest continent by area?,Asia
factual_sci_1_4,factual,1,How many planets are in our solar system?,8
factual_hist_1_1,factual,1,In what year did World War II end?,1945
factual_geo_1_5,factual,1,What country has the largest population?,India
factual_hist_1_3,factual,1,In what year did humans first land on the Moon?,1969
factual_hist_1_2,factual,1,Who was the first president of the United States?,George Washington
new_math_0021_d1,math,1,Carlos has 42 cookies and wants to share them equally among 7 friends. How many cookies does each friend get?,6
new_math_0029_d1,math,1,Fatima goes to a store to buy rulers. Each ruler costs $28. Fatima buys 18 of them. How much does Fatima spend in total?,504
new_math_0042_d1,math,1,Marcus has 28 books and wants to share them equally among 7 friends. How many books does each friend get?,4
new_math_0046_d1,math,1,Rachel goes to a store to buy markers. Each marker costs $50. Rachel buys 19 of them. How much does Rachel spend in total?,950
new_math_0003_d1,math,1,Priya has 21 mangoes. Priya gives 5 to Maria and buys 2 more. How many mangoes does Priya have now?,18
new_math_0036_d1,math,1,Fatima goes to a store to buy erasers. Each eraser costs $1. Fatima buys 20 of them. How much does Fatima spend in total?,20
new_math_0034_d1,math,1,Nadia goes to a store to buy markers. Each marker costs $50. Nadia buys 4 of them. How much does Nadia spend in total?,200
new_math_0012_d1,math,1,Nadia has 45 pencils and wants to share them equally among 5 friends. How many pencils does each friend get?,9
new_math_0038_d1,math,1,Tom has 43 oranges. Tom gives 13 to Priya and buys 11 more. How many oranges does Tom have now?,41
new_math_0045_d1,math,1,David has 2 pears. David gives 1 to Tom and buys 26 more. How many pears does David have now?,27
new_math_0008_d1,math,1,Omar has 33 books and wants to share them equally among 3 friends. How many books does each friend get?,11
new_math_0019_d1,math,1,Nadia goes to a store to buy markers. Each marker costs $38. Nadia buys 2 of them. How much does Nadia spend in total?,76
new_math_0049_d1,math,1,James has 36 marbles and wants to share them equally among 3 friends. How many marbles does each friend get?,12
new_math_0001_d1,math,1,Fatima goes to a store to buy notebooks. Each notebook costs $20. Fatima buys 20 of them. How much does Fatima spend in total?,400
new_math_0043_d1,math,1,Rachel has 36 stickers and wants to share them equally among 4 friends. How many stickers does each friend get?,9
new_math_0030_d1,math,1,Sarah has 16 peaches. Sarah gives 5 to Alex and buys 3 more. How many peaches does Sarah have now?,14
new_math_0026_d1,math,1,Omar goes to a store to buy erasers. Each eraser costs $7. Omar buys 9 of them. How much does Omar spend in total?,63
new_math_0011_d1,math,1,Nadia has 27 stickers and wants to share them equally among 3 friends. How many stickers does each friend get?,9
new_logic_0031_d1,logic,1,Leo is a Drogons. Every Drogons is a Grumpkins. Is Leo a Kelpoids?,Cannot be determined
new_logic_0023_d1,logic,1,Mina is a Snazzles. Every Snazzles is a Fizzgigs. Is Mina a Tazzles?,Cannot be determined
new_logic_0002_d1,logic,1,Noel is a Blorps. Every Blorps is a Drogons. Is Noel a Drazzles?,Cannot be determined
new_logic_0011_d1,logic,1,Dan is a Wumpuses. Every Wumpuses is a Grumpkins. Is Dan a Grumpkins?,Yes
new_logic_0016_d1,logic,1,Jake is a Plonkers. Every Plonkers is a Kelpoids. Is Jake a Kelpoids?,Yes
new_logic_0005_d1,logic,1,Leo is a Drogons. Every Drogons is a Tazzles. Is Leo a Plonkers?,Cannot be determined
new_logic_0040_d1,logic,1,Ben is a Snazzles. Every Snazzles is a Quibbles. Is Ben a Quibbles?,Yes
new_logic_0019_d1,logic,1,Eve is a Drazzles. Every Drazzles is a Flimbers. Is Eve a Flimbers?,Yes
new_logic_0000_d1,logic,1,Mina is a Snazzles. Every Snazzles is a Murnips. Is Mina a Murnips?,Yes
new_logic_0010_d1,logic,1,Ora is a Murnips. Every Murnips is a Grumpkins. Is Ora a Grumpkins?,Yes
new_logic_0029_d1,logic,1,Eve is a Murnips. Every Murnips is a Blorps. Is Eve a Blorps?,Yes
new_logic_0041_d1,logic,1,Cora is a Blorps. All Blorps are fast. Is Cora fast?,Yes
new_logic_0013_d1,logic,1,Mina is a Snazzles. Every Snazzles is a Grumpkins. Is Mina a Tazzles?,Cannot be determined
new_logic_0038_d1,logic,1,Kira is a Drazzles. Every Drazzles is a Snazzles. Is Kira a Snazzles?,Yes
new_logic_0018_d1,logic,1,Eve is a Vexlings. All Vexlings are fast. Is Eve fast?,Yes
new_logic_0024_d1,logic,1,Leo is a Plonkers. Every Plonkers is a Wumpuses. Is Leo a Wumpuses?,Yes
factual_cul_2_2,factual,2,Who composed The Four Seasons?,Antonio Vivaldi
factual_geo_2_2,factual,2,What is the smallest country in the world by area?,Vatican City
factual_sci_2_1,factual,2,What is the chemical symbol for gold?,Au
factual_geo_2_4,factual,2,What desert is the largest hot desert in the world?,Sahara
factual_hist_2_1,factual,2,In what year did World War I begin?,1914
factual_geo_2_3,factual,2,What is the capital of Canada?,Ottawa
factual_sci_2_2,factual,2,How many chromosomes do humans have?,46
factual_geo_2_1,factual,2,What is the capital of Australia?,Canberra
new_math_0038_d2,math,2,Aisha has $36. Aisha spends $2 on coffee. Aisha spends $11 on a book. How much money does Aisha have left?,23
new_math_0013_d2,math,2,James has $71. James spends $15 on a shirt. James spends $9 on coffee. How much money does James have left?,47
new_math_0029_d2,math,2,David goes to a store to buy folders. Each folder costs $49. David buys 5 of them. How much does David spend in total?,245
new_math_0033_d2,math,2,Tom has 46 oranges. Tom gives 21 to Rachel and buys 42 more. How many oranges does Tom have now?,67
new_math_0020_d2,math,2,David goes to a store to buy rulers. Each ruler costs $39. David buys 7 of them. How much does David spend in total?,273
new_math_0015_d2,math,2,Lin has 28 cookies and wants to share them equally among 7 friends. How many cookies does each friend get?,4
new_math_0036_d2,math,2,Priya goes to a store to buy pens. Each pen costs $16. Priya buys 14 of them. How much does Priya spend in total?,224
new_math_0021_d2,math,2,Sarah has $24. Sarah spends $3 on a bus ticket. Sarah spends $1 on coffee. Sarah spends $9 on lunch. How much money does Sarah have left?,11
new_math_0025_d2,math,2,Kenji has $43. Kenji spends $4 on a gift. Kenji spends $10 on a bus ticket. Kenji spends $10 on a shirt. How much money does Kenji have left?,19
new_math_0022_d2,math,2,Kenji has 9 pencils and wants to share them equally among 3 friends. How many pencils does each friend get?,3
new_math_0046_d2,math,2,"Nadia earned money over 2 days. On Monday, Nadia earned $26. On Tuesday, Nadia earned $32. How much did Nadia earn in total?",58
new_math_0034_d2,math,2,Priya goes to a store to buy erasers. Each eraser costs $28. Priya buys 19 of them. How much does Priya spend in total?,532
new_math_0010_d2,math,2,Aisha goes to a store to buy pens. Each pen costs $42. Aisha buys 20 of them. How much does Aisha spend in total?,840
new_math_0039_d2,math,2,Priya goes to a store to buy notebooks. Each notebook costs $35. Priya buys 12 of them. How much does Priya spend in total?,420
new_math_0042_d2,math,2,James has 18 pears. James gives 6 to Carlos and buys 48 more. How many pears does James have now?,60
new_math_0041_d2,math,2,Kenji has 33 stickers and wants to share them equally among 3 friends. How many stickers does each friend get?,11
new_math_0049_d2,math,2,"Nadia earned money over 4 days. On Monday, Nadia earned $34. On Tuesday, Nadia earned $29. On Wednesday, Nadia earned $36. On Thursday, Nadia earned $38. How much did Nadia earn in total?",137
new_math_0008_d2,math,2,Lin has 5 pencils and wants to share them equally among 5 friends. How many pencils does each friend get?,1
new_logic_0021_d2,logic,2,"Cora is a Vexlings. All Vexlings are clever. If something is clever, then it is friendly. Is Cora fast?",Cannot be determined
new_logic_0005_d2,logic,2,"Dan is a Tazzles. All Tazzles are clever. If something is clever, then it is friendly. Is Dan friendly?",Yes
new_logic_0023_d2,logic,2,Finn is a Snazzles. Every Snazzles is a Grumpkins. Is Finn a Grumpkins?,Yes
new_logic_0029_d2,logic,2,"Jake is a Blorps. All Blorps are fast. If something is fast, then it is brave. Is Jake clever?",Cannot be determined
new_logic_0013_d2,logic,2,Ben is a Quibbles. Every Quibbles is a Vexlings. Every Vexlings is a Drogons. Is Ben a Drogons?,Yes
new_logic_0006_d2,logic,2,Ora is a Drogons. Every Drogons is a Kelpoids. Every Kelpoids is a Zephlins. Is Ora a Zephlins?,Yes
new_logic_0004_d2,logic,2,Dan is a Snazzles. Every Snazzles is a Tazzles. Every Tazzles is a Murnips. Is Dan a Vexlings?,Cannot be determined
new_logic_0040_d2,logic,2,Ora is a Grumpkins. Every Grumpkins is a Snazzles. Is Ora a Snazzles?,Yes
new_logic_0027_d2,logic,2,Iris is a Kelpoids. Every Kelpoids is a Fizzgigs. Every Fizzgigs is a Snazzles. Is Iris a Fizzgigs?,Yes
new_logic_0038_d2,logic,2,"Jake is a Grumpkins. All Grumpkins are wise. If something is wise, then it is tall. Is Jake happy?",Cannot be determined
new_logic_0017_d2,logic,2,"Ora is a Zephlins. All Zephlins are happy. If something is happy, then it is tall. Is Ora tall?",Yes
new_logic_0028_d2,logic,2,"Cora is a Murnips. All Murnips are friendly. If something is friendly, then it is wise. Is Cora wise?",Yes
new_logic_0007_d2,logic,2,"Leo is a Murnips. All Murnips are wise. If something is wise, then it is brave. Is Leo brave?",Yes
new_logic_0036_d2,logic,2,Leo is a Murnips. All Murnips are quiet. Is Leo quiet?,Yes
factual_geo_3_5,factual,3,What is the highest mountain in Africa?,Mount Kilimanjaro
factual_cul_3_3,factual,3,Who composed the opera Carmen?,Georges Bizet
factual_sci_3_1,factual,3,"What is the half-life of Carbon-14, approximately in years?",5730
factual_sci_3_5,factual,3,"What is the value of Avogadro's number, approximately?",6.022e23
factual_geo_3_2,factual,3,What is the longest river in Europe?,Volga
new_math_0002_d3,math,3,"David earned money over 2 days. On Monday, David earned $457. On Tuesday, David earned $488. David's favorite color is blue. How much did David earn in total?",945
new_math_0006_d3,math,3,Priya has 412 books and wants to share them equally among 4 friends. The store had been open since 1987. How many books does each friend get?,103
new_math_0045_d3,math,3,Priya has 424 stickers and wants to share them equally among 8 friends. A song was playing on the radio in the background. How many stickers does each friend get?,53
new_math_0021_d3,math,3,Alex has $655. Alex's favorite color is blue. Alex spends $92 on lunch. Alex spends $79 on a book. How much money does Alex have left?,484
new_math_0036_d3,math,3,Lin wants to buy a guitar that costs $266. The store is offering a 50% discount today. Lin's favorite color is blue. How much does Lin pay after the discount?,133
new_math_0004_d3,math,3,Rachel has 110 pencils. A song was playing on the radio in the background. Carlos has 3 times as many pencils as Rachel. How many pencils do they have together?,440
new_math_0032_d3,math,3,"Aisha earned money over 4 days. The store had been open since 1987. On Monday, Aisha earned $118. On Tuesday, Aisha earned $369. On Wednesday, Aisha earned $282. On Thursday, Aisha earned $87. How much did Aisha earn in total?",856
new_math_0031_d3,math,3,Lin wants to buy a laptop that costs $128. The store is offering a 25% discount today. The receipt was printed on recycled paper. How much does Lin pay after the discount?,96
new_math_0007_d3,math,3,Sarah has 38 mangoes. It was a sunny Wednesday afternoon. Sarah gives 3 to Alex and buys 310 more. How many mangoes does Sarah have now?,345
new_math_0018_d3,math,3,Maria goes to a store to buy markers. Each marker costs $10. The receipt was printed on recycled paper. Maria buys 11 of them. How much does Maria spend in total?,110
new_math_0000_d3,math,3,"Marcus types 86 words per minute. Marcus's favorite color is blue. If Marcus works for 6 minutes, how many words does Marcus type?",516
new_math_0012_d3,math,3,James goes to a store to buy rulers. Each ruler costs $21. James buys 3 of them. The receipt was printed on recycled paper. How much does James spend in total?,63
new_logic_0009_d3,logic,3,"Kira is a Tazzles. All Tazzles are wise. All wise things are happy. If something is a Vexlings, it might be tall. Is Kira brave?",Cannot be determined
new_logic_0026_d3,logic,3,Some Murnips are clever. Kira is a Flimbers. All Flimbers are friendly. All friendly things are strong. Is Kira not strong?,No
new_logic_0032_d3,logic,3,Ben is a Drazzles. All Drazzles are friendly. All Wumpuses are friendly. All friendly things are wise. Is Ben wise?,Yes
new_logic_0033_d3,logic,3,Ben is a Vexlings. All Vexlings are happy. All happy things are brave. Some Wumpuses are happy. Is Ben brave?,Yes
new_logic_0019_d3,logic,3,"All Wumpuses are friendly. Eve is a Vexlings. All Vexlings are friendly. If something is friendly, then it is tall. Is Eve brave?",Cannot be determined
new_logic_0012_d3,logic,3,"Leo is a Vexlings. Every Vexlings is a Grumpkins. If something is a Fizzgigs, it might be clever. Every Grumpkins is a Blorps. Every Blorps is a Snazzles. Is Leo a Grumpkins?",Yes
new_logic_0039_d3,logic,3,"Eve is a Kelpoids. All Kelpoids are friendly. If something is a Tazzles, it might be brave. All friendly things are fast. Is Eve not fast?",No
new_logic_0006_d3,logic,3,Cora enjoys hiking. Mina's favorite color is blue. Kira does not like purple or blue. Kira's favorite color is green. Hugo's favorite color is red. Ben does not like red. What is Ben's favorite color?,purple
new_logic_0000_d3,logic,3,"Gina is a Murnips. If something is a Grumpkins, it might be kind. All Murnips are wise. All wise things are kind. Is Gina not kind?",No
new_logic_0041_d3,logic,3,Eve enjoys painting. Kira's favorite color is orange. Ben does not like yellow or orange. Ben's favorite color is purple. Paul's favorite color is yellow. Jake does not like purple. What is Jake's favorite color?,red
factual_sci_4_5,factual,4,"What is the escape velocity from Earth's surface, approximately in km/s?",11.2
factual_hist_4_4,factual,4,What was the capital of the Inca Empire?,Cusco
factual_hist_4_1,factual,4,In what year was the Treaty of Kuchuk Kainarji signed?,1774
factual_trick_1,factual,4,What is the largest desert in the world?,Antarctic Desert
factual_geo_4_2,factual,4,What is the second-highest peak in the Karakoram range?,K2
new_math_0029_d4,math,4,"Kenji has $745. Kenji spends $131 on a gift. Kenji spends $103 on coffee. The store also had 7 magazines on display, but Kenji didn't buy any. Kenji spends $118 on a book. How much money does Kenji have left?",393
new_math_0040_d4,math,4,Aisha wants to buy a guitar that costs $350. The store is offering a 10% discount today. Aisha noticed that 20 other customers were in the store. How much does Aisha pay after the discount?,315
new_math_0014_d4,math,4,"Aisha wants to buy a bicycle that costs $550. 24 of the items were slightly bruised, but Aisha kept them all. The store is offering a 10% discount today. How much does Aisha pay after the discount?",495
new_math_0036_d4,math,4,"Fatima saves $79 every week for 6 weeks. The store also had 35 candles on display, but Fatima didn't buy any. During that time, Fatima spends $47 on a birthday gift. How much money does Fatima have at the end?",427
new_math_0035_d4,math,4,"Rachel has $355. Rachel spends $21 on a book. Rachel spends $163 on coffee. There were 30 items in the clearance bin, but Rachel wasn't interested. Rachel spends $96 on a bus ticket. How much money does Rachel have left?",75
new_math_0047_d4,math,4,"Fatima builds 132 widgets per day. Fatima had 28 coupons in a drawer at home but forgot to bring them. If Fatima works for 2 days, how many widgets does Fatima produce?",264
new_math_0042_d4,math,4,"David saves $19 every week for 4 weeks. The shelf had 23 empty spots where items used to be. During that time, David spends $20 on a video game. How much money does David have at the end?",56
new_math_0008_d4,math,4,"Tom has 339 peaches. The store's loyalty program showed Tom had 22 points, which weren't redeemable yet. Tom gives 64 to Fatima and buys 624 more. How many peaches does Tom have now?",899
new_math_0012_d4,math,4,"Alex reads 101 pages per hour. Alex had 5 coupons in a drawer at home but forgot to bring them. If Alex works for 3 hours, how many pages does Alex read?",303
new_math_0013_d4,math,4,"Rachel bought 4 notebooks and paid $592 in total. There were 35 items in the clearance bin, but Rachel wasn't interested. Each notebook cost the same amount. How much did each notebook cost?",148
new_math_0025_d4,math,4,Lin has 32 books. The shelf had 45 empty spots where books used to be. Marcus has 4 times as many books as Lin. How many books do they have together?,160
new_math_0002_d4,math,4,"Rachel has $993. On the way there, Rachel passed 33 houses. Rachel spends $239 on a gift. Rachel spends $124 on coffee. How much money does Rachel have left?",630
new_logic_0019_d4,logic,4,Noel is a Drogons. All Drogons are brave. All brave things are kind. Some Zephlins are friendly. Is Noel not kind?,No
new_logic_0006_d4,logic,4,Dan is a Murnips. All Murnips are kind. All kind things are fast. Some Vexlings are tall. Is Dan not fast?,No
new_logic_0039_d4,logic,4,"All Drazzles are happy. Cora is a Quibbles. All Quibbles are clever. If something is clever, then it is happy. Is Cora strong?",Cannot be determined
new_logic_0037_d4,logic,4,Hugo's favorite color is yellow. Dan does not like orange or yellow. Dan's favorite color is blue. Kira does not like green or blue. Mina enjoys hiking. Kira's favorite color is orange. Ora does not like yellow. What is Ora's favorite color?,green
new_logic_0015_d4,logic,4,"Ava is a Fizzgigs. All Fizzgigs are clever. If something is a Grumpkins, it might be fast. If something is clever, then it is brave. Is Ava kind?",Cannot be determined
new_logic_0028_d4,logic,4,Cora is a Grumpkins. Every Grumpkins is a Murnips. Every Murnips is a Fizzgigs. Some Wumpuses are friendly. Every Fizzgigs is a Flimbers. Is Cora a Drazzles?,Cannot be determined
new_logic_0024_d4,logic,4,"Leo is a Plonkers. Every Plonkers is a Grumpkins. If something is a Fizzgigs, it might be kind. Every Grumpkins is a Quibbles. Every Quibbles is a Drazzles. Is Leo a Zephlins?",Cannot be determined
new_logic_0011_d4,logic,4,"Eve is a Murnips. All Murnips are wise. If something is wise, then it is fast. If something is a Drogons, it might be happy. Is Eve tall?",Cannot be determined
new_logic_0012_d4,logic,4,"Hugo is a Drogons. All Vexlings are wise. All Drogons are strong. If something is strong, then it is tall. Is Hugo clever?",Cannot be determined
new_logic_0007_d4,logic,4,"Jake is a Fizzgigs. All Fizzgigs are fast. If something is fast, then it is strong. If something is a Zephlins, it might be tall. Is Jake strong?",Yes
